Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime,details
False,8.53092718768284,14.700785411438892,5.62,0.74,0.68,0.66, A0: 10.045337631923823 P0: 0.0772467818785254 S0: 5.525922374013804 A1: 5.531518602546294 P1: 0.11626087971513531 S1: 3.4746439197088397 A2: 1.94220627981055 P2: 0.09800088317826289 S2: 0.43395391879087414 A3: 8.020833747308822 P3: 0.11847181152356229 S3: 6.272530696233985 A4: 1.6407353557651312 P4: 0.07408138130521986 S4: 4.436871352637992 A5: 4.142957998897256 P5: 0.06210292018550509 S5: 5.627434234906666
False,45.83480511703511,62.46505203386615,-1.0,-1.0,1.0,0.96, A0: 4.4690553914949245 P0: 0.06585679711482577 S0: 3.983058071355692 A1: 0.3034182999099563 P1: 0.11469264993309877 S1: 6.052065392359164 A2: 11.106730754515294 P2: 0.11170279438233395 S2: 3.909103748519385 A3: 0.3386784998020569 P3: 0.08457528818921412 S3: 0.15899072943718182 A4: 3.836559985007109 P4: 0.11819686716953258 S4: 3.8475882699563906 A5: 12.973639670045404 P5: 0.10351993635682306 S5: 0.31991215802935474
False,9.202314793148949,15.38662296114045,1.56,1.34,1.18,1.06, A0: 12.462636643082357 P0: 0.07502127810328747 S0: 0.05749448340746295 A1: 0.15784804451938872 P1: 0.0667118586156259 S1: 3.066090845598592 A2: 0.8271826608419103 P2: 0.09475735791899574 S2: 0.4432334807950513 A3: 5.869095327734222 P3: 0.08491318254032373 S3: 1.4907814163449509 A4: 4.521540886942425 P4: 0.1136185362810202 S4: 5.970376539947875 A5: 10.338532842868466 P5: 0.07377091716011099 S5: 1.1945819286190966
True,2.388194500420776,4.626896904634905,-1.0,0.96,0.88,0.74, A0: 1.9889330091296418 P0: 0.07820363797928966 S0: 2.086603049390666 A1: 11.624716436846073 P1: 0.11278126859076441 S1: 1.9471255630550517 A2: 9.591800703852607 P2: 0.07450184375504176 S2: 2.3891055668280723 A3: 4.487169864971814 P3: 0.07247052698398962 S3: 4.9487818490899445 A4: 5.3015335304429625 P4: 0.07958250914260812 S4: 0.09796766527452529 A5: 11.121560436070405 P5: 0.07309095350260617 S5: 2.466341316086747
True,2.1971096820100864,4.090462913325984,-1.0,0.88,0.84,0.84, A0: 10.934558326240934 P0: 0.0873561347201666 S0: 0.5415093571341041 A1: 2.339104872895317 P1: 0.11348940062702875 S1: 5.542587830401049 A2: 2.2660524853883377 P2: 0.06819684114442474 S2: 0.8807140312972948 A3: 11.295382457794256 P3: 0.09590327948723099 S3: 2.842798341650263 A4: 12.916315722760553 P4: 0.1174213531268055 S4: 2.40832674795007 A5: 7.135586775304932 P5: 0.09936058962281034 S5: 1.9098971112875063
True,1.8463840654323365,3.3745967109315376,-1.0,-1.0,0.8200000000000001,0.8200000000000001, A0: 8.46885211697813 P0: 0.07371762618875354 S0: 2.4642454967678775 A1: 12.15972152307648 P1: 0.09092380616287053 S1: 0.9461612874445858 A2: 8.67982555594176 P2: 0.06621281611514149 S2: 2.5989727560462343 A3: 7.000795770486089 P3: 0.08794475486223774 S3: 2.2929224634734076 A4: 1.7170689067708296 P4: 0.10084789162608003 S4: 0.04788797759977518 A5: 7.028750526108288 P5: 0.08242372355767288 S5: 2.872007746533793
False,56.74021009663187,78.60902741122888,-1.0,-1.0,-1.0,-1.0, A0: 9.697574680579455 P0: 0.09635799401444751 S0: 5.901981257383063 A1: 3.726690211432557 P1: 0.11803187773243522 S1: 1.2762290232641131 A2: 1.9483490698146362 P2: 0.08269288002414084 S2: 0.6285473370262155 A3: 8.117916230529618 P3: 0.08308138775154328 S3: 5.855785169870859 A4: 1.6104705867198392 P4: 0.10630691676118893 S4: 0.5265457461351764 A5: 7.78088383876209 P5: 0.10887340776818581 S5: 1.0454725336293003
False,24.526189529644814,40.022986851020526,17.88,1.0,1.0,0.9400000000000001, A0: 3.691346169443971 P0: 0.10333100419804127 S0: 3.5524126678920322 A1: 9.22576374697017 P1: 0.09428361053143548 S1: 4.187239133704545 A2: 8.228416828294698 P2: 0.10628483426176105 S2: 1.59960636204134 A3: 7.931309489435195 P3: 0.07675706170757235 S3: 0.19458629318776624 A4: 5.347042270682093 P4: 0.08779555412414292 S4: 0.8408323085498552 A5: 0.9838294058027035 P5: 0.06335323004139382 S5: 5.404092564510625
False,16.371053706109116,25.85026496079457,12.06,10.28,0.9400000000000001,0.88, A0: 4.417690370998267 P0: 0.08563314538774001 S0: 4.810079128005233 A1: 7.4956713471189795 P1: 0.09932660889947605 S1: 2.953185805824065 A2: 5.866701217670487 P2: 0.07000089350649803 S2: 0.8987477669954064 A3: 9.272880830870589 P3: 0.07418549600601881 S3: 3.467771765285467 A4: 2.303194562940491 P4: 0.06255848313910616 S4: 2.8443063811721148 A5: 10.557955511357589 P5: 0.11305546535338884 S5: 4.19696799850687
False,28.207815671331616,41.32662825353207,-1.0,19.26,0.74,0.7000000000000001, A0: 10.872363408995177 P0: 0.1076866061135364 S0: 5.786409599289556 A1: 0.4774956358133937 P1: 0.11546374081437719 S1: 3.794519412757587 A2: 0.3171561762103682 P2: 0.11787669356102867 S2: 1.976972442923819 A3: 2.6898714272853823 P3: 0.11739222655093515 S3: 3.1152391187791384 A4: 2.7667526023299867 P4: 0.0854375479858779 S4: 2.4922747620922734 A5: 8.507791613429081 P5: 0.11349499829562656 S5: 5.983457904363503
