Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime
False,5.16298027588165,8.703774969810954,1.58,0.96,0.86,0.8200000000000001
False,4.963630289689313,8.297596341386466,1.16,1.0,0.88,0.84
False,4.763967836291186,7.939940441254747,1.76,0.8,0.76,0.72
False,5.648820959714368,9.772950498097861,0.92,0.86,0.86,0.78
False,4.869063657823111,8.285609439029422,2.12,0.8200000000000001,0.74,0.74
False,5.3035700017119325,8.887023807423164,2.16,0.8200000000000001,0.8,0.74
False,5.123051685206115,8.599717609369286,1.04,0.96,0.86,0.8
False,4.938859163885944,8.318283273222331,1.1,0.9,0.78,0.72
False,4.899833681298592,8.19092327260625,1.08,0.92,0.84,0.72
False,5.234109972733119,8.974992799084736,2.0,0.9,0.78,0.76
False,4.789559127574784,8.072851773890338,1.86,0.78,0.74,0.68
False,4.765758660509075,8.119721911074139,2.1,0.74,0.66,0.66
False,4.669676501216078,7.910424435052947,1.0,0.8,0.74,0.7000000000000001
False,4.933945425748749,8.287789217859805,2.02,0.8200000000000001,0.74,0.7000000000000001
False,5.712264384311204,10.078908940819154,2.02,1.02,0.96,0.86
False,5.0789872837735075,8.556246496550385,1.16,1.02,0.88,0.86
False,4.8116568266475,8.076577129191206,1.58,0.86,0.76,0.72
False,4.994110610331335,8.432651776106736,1.08,0.9400000000000001,0.84,0.76
False,5.318540763599885,8.945656426052212,1.32,1.16,1.02,0.9
False,5.165166479954313,8.740037150621914,2.1,0.86,0.76,0.76
False,5.181498478156688,8.859843816401177,1.74,0.86,0.76,0.74
False,4.98673230411666,8.406658475610955,1.8,1.04,0.92,0.78
False,4.984045929230962,8.43508289717542,1.82,0.8200000000000001,0.78,0.68
False,4.8608295328527955,8.221170389576093,1.82,0.8200000000000001,0.78,0.72
False,5.04639346541584,8.704291383465836,1.68,0.8200000000000001,0.76,0.74
False,5.368508112420202,9.024513727148767,1.18,1.1,0.96,0.88
False,5.121894860377555,8.58470266228506,1.3,0.98,0.92,0.8200000000000001
False,5.03351218387684,8.515669573420611,1.22,1.06,0.9400000000000001,0.84
False,4.97296399874187,8.323830958961153,1.2,1.02,0.9,0.8
False,5.035639417322505,8.483420111668465,2.0,0.74,0.7000000000000001,0.68
False,4.932155233565128,8.349713897790767,1.92,0.8200000000000001,0.74,0.7000000000000001
False,4.936222991106098,8.385375142015913,2.06,0.92,0.8,0.76
False,4.968406110177079,8.359018146492021,1.9000000000000001,0.84,0.8,0.74
False,4.932336866985665,8.702190369245352,1.76,0.98,0.84,0.8
False,4.9475594963865195,8.405853349501895,2.04,0.78,0.68,0.68
False,4.955717120820617,8.354187668648777,1.8800000000000001,0.8,0.76,0.72
False,5.371848765163535,9.208463631071131,2.3000000000000003,0.8200000000000001,0.78,0.74
False,4.918955379964466,8.359054529472337,1.7,0.86,0.8200000000000001,0.74
False,5.260804838393024,9.212845515172521,1.92,1.0,0.92,0.88
False,4.941693967985337,8.412952500788993,2.18,0.78,0.72,0.68
False,5.027487304051816,8.583872930119945,1.78,1.06,0.9,0.8200000000000001
False,5.42097847567869,9.411253128310461,1.48,1.18,1.06,0.92
False,5.200573250505688,8.795256878277481,1.98,0.86,0.8200000000000001,0.74
False,5.268471314126016,8.876199279061144,2.16,0.8,0.74,0.68
False,5.1208964605823,8.513367495589206,1.1,0.9400000000000001,0.88,0.78
False,5.289148933757289,8.925351662811131,1.92,1.08,0.9400000000000001,0.84
False,5.155477320804753,8.978036075028529,1.96,0.8200000000000001,0.8200000000000001,0.74
False,4.895209197546511,8.492402182620014,1.94,0.76,0.7000000000000001,0.7000000000000001
False,4.936726010919759,8.41553813067069,1.86,0.8,0.78,0.72
False,4.938975932460557,8.472086212991092,1.54,0.9,0.8,0.76
False,4.984522727659025,8.338479126131592,1.6600000000000001,0.88,0.8,0.76
False,4.6810988215311555,8.02247198478651,0.84,0.76,0.72,0.68
False,4.844515182768555,8.28518401804154,0.92,0.8200000000000001,0.76,0.72
False,5.042811618627032,8.705587371632065,1.8800000000000001,0.88,0.8,0.78
False,4.741607265919658,8.06416251200105,0.98,0.84,0.8,0.74
False,4.873286285135879,8.159643425666372,0.84,0.72,0.7000000000000001,0.66
False,4.99598618496407,8.609706997986923,1.4000000000000001,0.98,0.86,0.8200000000000001
False,5.054841973993621,8.696279837620368,0.9400000000000001,0.86,0.8200000000000001,0.78
False,5.303139009582815,9.04823084389364,1.28,1.06,0.98,0.88
False,5.4412836282190975,9.27355010678005,2.2,0.86,0.8,0.76
False,5.417331558707712,9.100158218801324,1.82,0.92,0.86,0.8200000000000001
False,5.072809405553328,8.530021957211435,1.26,1.04,0.88,0.8
False,4.61424643517389,7.851257717431241,1.78,0.84,0.74,0.7000000000000001
False,5.069161897037864,8.64312325372397,1.84,0.88,0.8200000000000001,0.74
False,4.987941815625097,8.637762892998202,1.8800000000000001,0.92,0.8200000000000001,0.78
False,5.030152554163538,8.577495549936762,1.98,0.86,0.8,0.76
False,4.997240592135323,8.498235797362568,1.6400000000000001,1.02,0.9,0.8200000000000001
False,5.05112539381039,8.519513648965674,1.7,0.84,0.8,0.76
False,4.9573656122240495,8.642576003815421,2.06,0.9,0.8,0.78
False,5.02576834401977,8.777707578731953,2.08,0.84,0.84,0.78
False,5.119160701625175,8.870727369773812,2.22,0.84,0.76,0.7000000000000001
False,5.190276949053639,8.776343778837449,1.76,0.88,0.8200000000000001,0.76
False,4.868136549331191,8.219878726197985,1.82,0.78,0.74,0.68
False,4.948167992152096,8.382950188493414,1.98,0.8,0.72,0.64
False,5.052384667084737,8.580080378210463,0.98,0.9,0.8200000000000001,0.72
False,5.354129350269282,9.215834378464397,2.1,0.88,0.8200000000000001,0.78
False,5.268107142643796,9.149764021986378,1.86,0.88,0.8,0.78
False,5.067643692303248,8.5768480910758,0.78,0.78,0.72,0.7000000000000001
False,5.01484559121301,8.417794999293319,1.98,0.92,0.86,0.76
False,4.957212819658062,8.382131117381924,1.9000000000000001,0.8200000000000001,0.76,0.7000000000000001
False,5.214301403101052,8.972773239761645,1.9000000000000001,0.88,0.8,0.76
False,5.0061795395534086,8.67511016845438,1.92,0.88,0.8200000000000001,0.78
False,4.986837097862634,8.471522230060852,2.02,0.84,0.8,0.72
False,4.719379688727187,8.05787478162243,0.9400000000000001,0.86,0.78,0.76
False,4.999309430882087,8.370736472960711,2.0,0.86,0.76,0.76
False,5.041285475076265,8.546417688580751,0.88,0.8200000000000001,0.76,0.74
False,4.846372682203547,8.266068911500648,1.18,0.98,0.9,0.76
False,4.9950813167671155,8.383980399972875,0.98,0.86,0.8200000000000001,0.78
False,5.131144146287178,8.971229027197328,1.8800000000000001,0.88,0.84,0.78
False,4.7843668494203655,8.002065168242538,0.9400000000000001,0.8200000000000001,0.78,0.72
False,4.8365190178047035,8.142672997557352,0.84,0.76,0.72,0.66
False,4.84530887358237,8.168472315106477,1.82,0.78,0.72,0.7000000000000001
False,4.866911832223728,8.478586131279672,1.72,0.9,0.84,0.8
False,4.843036488459093,8.166190234779721,0.88,0.78,0.72,0.68
False,5.069425415446613,8.556270734310061,2.16,0.78,0.72,0.68
False,4.822775455744687,8.2439227772316,0.86,0.84,0.76,0.68
False,5.008824609858026,8.453708146814304,1.4000000000000001,1.12,0.98,0.8200000000000001
False,5.492045706986134,9.527074089571656,2.42,2.12,0.84,0.8
False,5.228824335271735,8.96601112845292,2.24,0.8200000000000001,0.74,0.7000000000000001
False,4.958113186560539,8.573761751449993,1.92,0.9,0.8200000000000001,0.78
False,4.882183064658129,8.317531527875948,1.86,0.96,0.84,0.8
False,4.798003915676257,8.349241202727596,1.86,0.84,0.76,0.72
False,4.936186130608612,8.369450278489483,0.9,0.84,0.8,0.78
False,5.106403737231724,8.69480683325329,1.7,0.9400000000000001,0.86,0.78
False,4.99516057372571,8.30888630698162,1.06,0.92,0.84,0.8
False,5.087454545075542,8.620166891785786,1.82,0.8200000000000001,0.78,0.74
False,4.976605166859803,8.451374035883415,1.78,0.84,0.78,0.78
False,5.182498823730292,8.74862404283667,1.84,0.92,0.86,0.78
False,4.979750803754771,8.450849886165452,1.1400000000000001,0.9400000000000001,0.86,0.84
False,5.051104313429973,8.632324671494107,1.96,0.96,0.84,0.8
False,4.864551108933172,8.394180181508546,1.8,0.78,0.74,0.7000000000000001
False,4.851762874810521,8.239425876441043,1.68,0.8200000000000001,0.8,0.74
False,5.105227233031097,8.712839325462507,2.22,0.8200000000000001,0.8200000000000001,0.74
False,4.974440179228027,8.556437265061511,1.8800000000000001,0.8,0.76,0.7000000000000001
False,5.2126467646337336,8.82328027387226,1.44,1.1,0.98,0.9
False,5.460325858681464,9.6788975754774,2.22,2.12,0.96,0.88
False,4.895231967908045,8.33300444016649,0.86,0.76,0.74,0.7000000000000001
False,5.179054625002755,8.810409393021015,1.6,1.1,1.02,0.92
False,5.092409589926942,8.834862993725428,2.14,0.8200000000000001,0.76,0.72
False,5.034741728121676,8.426473917465513,1.82,0.9,0.8,0.74
False,4.780610023700649,7.999343240847965,1.92,0.74,0.68,0.66
False,5.143693501157498,8.693510603048159,1.2,0.98,0.88,0.84
False,5.226920002405211,8.936926883293696,2.06,0.86,0.76,0.76
False,5.3307500912101045,9.24579547851352,2.1,0.9,0.8200000000000001,0.78
False,4.951239395603258,8.433903282508362,2.0,0.96,0.84,0.84
False,4.952959781720822,8.389091242096502,1.74,0.88,0.78,0.74
False,5.034922913784888,8.621995861074074,0.92,0.8,0.74,0.74
False,5.274403138729969,8.992880628558337,2.22,0.9,0.84,0.8
False,5.080880947823697,8.83030151458154,1.06,0.9,0.84,0.78
False,5.155451357291584,8.672208141791053,0.92,0.86,0.78,0.74
False,4.9661414342436965,8.449012248425039,1.8800000000000001,0.9400000000000001,0.8200000000000001,0.78
False,4.962071763840138,8.398097955153597,1.04,0.86,0.78,0.74
False,4.896837933107192,8.340570475691285,2.06,0.8,0.76,0.74
False,5.098517357137039,8.50143493383726,1.04,0.92,0.84,0.8
False,4.885510358488578,8.228880392022946,1.36,1.06,0.88,0.8200000000000001
False,5.103424425901224,8.827829353105326,1.8800000000000001,0.9,0.8200000000000001,0.8200000000000001
False,4.911369507430551,8.406808161542523,1.2,1.06,0.9,0.84
False,5.1781829957022785,8.747756034383274,0.9,0.8200000000000001,0.8,0.76
False,5.281159972483803,8.944278318783311,1.1400000000000001,1.04,0.96,0.84
False,4.865503797739967,8.256991597911723,1.84,0.78,0.74,0.72
False,5.107074123756097,8.665402077425918,2.04,0.84,0.84,0.78
False,4.765703925165956,8.024703588884906,0.98,0.8200000000000001,0.8,0.72
False,4.900985321207452,8.242370023727338,1.0,0.84,0.78,0.72
False,4.970133390387567,8.385269322585286,0.96,0.86,0.78,0.72
False,5.191988235225771,8.982404581213965,1.9000000000000001,1.0,0.84,0.84
False,5.008697060248366,8.376119265802304,1.06,0.9400000000000001,0.8200000000000001,0.8
False,5.037671742692939,8.614286580946922,1.86,0.84,0.8,0.74
False,5.184996996591908,8.840050816306693,2.0,0.8,0.74,0.74
False,4.782076201445965,8.10699462960805,1.92,0.84,0.8,0.78
False,4.945219230609996,8.346053182132307,1.82,0.96,0.8200000000000001,0.74
False,4.8637063924618955,8.300093047936274,1.8800000000000001,0.9,0.86,0.8
False,4.999155618142918,8.470852110411778,2.18,0.8,0.78,0.7000000000000001
False,4.928213478965257,8.31675838575384,1.04,0.9400000000000001,0.78,0.78
False,4.9146165403825846,8.462977800214697,1.94,0.86,0.76,0.76
False,5.231581053625843,8.85333331722102,2.06,0.8,0.76,0.7000000000000001
False,4.976014541740568,8.546693709942229,2.0,0.88,0.78,0.76
False,4.865319838239093,8.203450868527385,1.04,0.84,0.8,0.74
False,4.922669995656759,8.320003535796772,2.0,0.84,0.8200000000000001,0.74
False,4.8916476017905515,8.33215860425889,1.86,0.9,0.76,0.7000000000000001
False,4.839256008688207,8.29779046595346,2.02,0.8200000000000001,0.78,0.72
False,4.989626662801356,8.492178611526843,1.8,0.9,0.84,0.78
False,4.9671142681116365,8.385860952656033,1.08,0.9400000000000001,0.88,0.78
False,4.699491851187187,8.025815088137815,1.78,0.76,0.72,0.66
False,4.920166606777984,8.456002282870548,1.02,0.86,0.8200000000000001,0.76
False,5.05270552556036,8.588699470694388,2.04,0.76,0.72,0.68
False,4.942133247798064,8.400030788628252,2.2800000000000002,0.78,0.72,0.68
False,5.055624103291621,8.56955849243435,1.2,0.98,0.88,0.8200000000000001
False,5.191833790851558,8.977604637859603,2.22,0.8200000000000001,0.8200000000000001,0.76
False,4.751471906923184,7.968994951064889,1.0,0.8,0.8,0.74
False,5.213606015605911,8.871886849096965,2.22,0.98,0.84,0.8200000000000001
False,5.033069590494078,8.487933334007625,2.06,0.78,0.76,0.68
False,4.813951532786078,8.19949213318164,1.78,0.8,0.74,0.7000000000000001
False,4.920764165009723,8.347381165833314,0.9,0.8,0.76,0.74
False,4.8226379122617,8.138864520642096,1.22,0.88,0.8,0.74
False,5.470682192747067,9.452587339709396,2.0,0.9400000000000001,0.84,0.8200000000000001
False,4.960711974631584,8.503004215627945,1.7,0.96,0.86,0.8
