Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime,details
False,6.111865710856479,10.462910780632692,2.2800000000000002,0.78,0.72,0.72, A0: 5.2859235354301175 P0: 0.05525881488245062 S0: 4.4422169174088175 A1: 5.076176152828236 P1: 0.04391018902425102 S1: 4.247364086508993 A2: 4.089133475760068 P2: 0.058986227315096174 S2: 2.2194070720253047 A3: 0.6888667242377676 P3: 0.03955885063992552 S3: 3.7768301826934394 A4: 1.2049788838863367 P4: 0.04190653369341227 S4: 3.7112582515929144 A5: 6.356714120887769 P5: 0.04281484733938361 S5: 5.683239508767902
False,8.472269293298215,14.073089506002868,1.22,1.12,1.06,1.04, A0: 11.47191999843701 P0: 0.054451543882299745 S0: 0.5900677890383701 A1: 11.741577506518212 P1: 0.0486365361946688 S1: 2.6849135867134377 A2: 3.3401691207986945 P2: 0.04455716496255663 S2: 4.045411674644959 A3: 1.5446404984721367 P3: 0.041133576200374646 S3: 0.2742508995563251 A4: 9.97390398239239 P4: 0.03901753860354801 S4: 3.595124419812922 A5: 8.834833023342817 P5: 0.051658632424134036 S5: 0.6919927254518269
False,7.24712280957024,12.234458247193668,2.32,0.86,0.74,0.68, A0: 8.063448090368508 P0: 0.03279222538702267 S0: 4.000066598984214 A1: 7.1467966045066955 P1: 0.049391097663182226 S1: 4.43137282585179 A2: 6.109398977493343 P2: 0.03335550686600885 S2: 3.880729874328305 A3: 2.973950413606219 P3: 0.03785905481368137 S3: 5.504647652742669 A4: 6.769728983098476 P4: 0.040241441377730565 S4: 1.7346310386962478 A5: 4.302228177970348 P5: 0.036571514011371084 S5: 1.1221148403533099
False,7.509890427353117,12.564040452212222,2.96,1.02,0.9400000000000001,0.9, A0: 2.3287228582950563 P0: 0.05866924316237562 S0: 5.625892786469763 A1: 9.340299423810697 P1: 0.03522534026546821 S1: 5.582569555237427 A2: 5.327074925666653 P2: 0.04456055346235771 S2: 5.44748225599077 A3: 3.2866526388436514 P3: 0.05012381034149582 S3: 0.49041032596565226 A4: 12.984998797760353 P4: 0.05375568762338548 S4: 0.5203884968242918 A5: 1.3475632666382142 P5: 0.04462390493982729 S5: 3.066331531129208
False,6.773334163556515,11.760973423257695,2.52,0.96,0.86,0.84, A0: 8.284734600621151 P0: 0.037310986496321204 S0: 5.0858577458415635 A1: 5.757862518259998 P1: 0.03547256478843392 S1: 4.313177204691781 A2: 3.8301045259873714 P2: 0.053008784079977334 S2: 5.863306828469085 A3: 5.6066524979701695 P3: 0.03404386122061289 S3: 4.0382740152116945 A4: 12.857706504462298 P4: 0.031361121740175225 S4: 5.26009998724585 A5: 3.2658561537838766 P5: 0.043814555680188036 S5: 0.7031442096828326
False,7.693210572683874,13.149282132065437,1.36,1.0,0.84,0.84, A0: 12.380182924257515 P0: 0.04625671325691161 S0: 6.00827941170064 A1: 5.384564496797135 P1: 0.051884786563405526 S1: 0.25153989961927864 A2: 7.609342865341975 P2: 0.04276534206204531 S2: 3.851227298111271 A3: 0.1597647831832073 P3: 0.0461956084942177 S3: 0.11770688380670907 A4: 9.15141929107863 P4: 0.05318835033256752 S4: 1.7487833536478392 A5: 8.73074651709299 P5: 0.04630375041960337 S5: 0.23333245832844993
False,6.919299149741295,12.044659423693828,2.24,1.08,0.9,0.8200000000000001, A0: 10.192303615082473 P0: 0.04462305092568697 S0: 4.595380072362377 A1: 9.603651524064057 P1: 0.048851259175480936 S1: 6.230480655062284 A2: 5.162887283951402 P2: 0.04837788876795516 S2: 1.2267049978998323 A3: 0.6665581553745097 P3: 0.03570037201968309 S3: 2.2472741045826883 A4: 2.5037352295547075 P4: 0.033653991537199654 S4: 0.04221978056715566 A5: 0.6584172329326923 P5: 0.048041963710238264 S5: 2.2167792989384663
False,6.517864676322661,11.026223558747505,1.82,0.88,0.78,0.74, A0: 0.051443887288283974 P0: 0.04514896614266574 S0: 2.163497405621187 A1: 4.596360813107381 P1: 0.05883033855445482 S1: 6.231772204455835 A2: 8.554108124386218 P2: 0.031339831735112574 S2: 5.558610980551647 A3: 0.1946568148373341 P3: 0.035745713425437406 S3: 3.2940342553492217 A4: 5.51090389963473 P4: 0.05399168493565057 S4: 3.1856066525911615 A5: 10.388336735106778 P5: 0.055225373967821116 S5: 5.646590199887149
False,7.092245878981613,12.364466019908905,1.82,1.12,0.92,0.9, A0: 12.66828354097736 P0: 0.043229943426376524 S0: 1.6008210788875166 A1: 8.403639665633687 P1: 0.05158687105827356 S1: 5.90520047002299 A2: 4.591872645218301 P2: 0.057585072595638144 S2: 1.7852467891268535 A3: 8.9418445543577 P3: 0.05577382087727517 S3: 0.15846444176537336 A4: 3.734271681670109 P4: 0.032314143093659174 S4: 0.40583283497107 A5: 4.175457807361565 P5: 0.04086911921649904 S5: 2.9237288632379435
False,7.067419698554832,12.518125170154217,2.34,0.96,0.9400000000000001,0.84, A0: 4.0612852484162465 P0: 0.056343582463432185 S0: 2.642017209712895 A1: 9.702560577705265 P1: 0.039192228131159496 S1: 4.42640399853078 A2: 7.730818455889016 P2: 0.04145463237670803 S2: 4.499872199724456 A3: 2.5254501318911657 P3: 0.04227781438018041 S3: 3.5122239442780705 A4: 4.809561061324349 P4: 0.039723848923352 S4: 3.45400654948547 A5: 5.689233143124391 P5: 0.043648388332519036 S5: 2.049834077653268
