Fail,avgErr,avgMaxErr,less5cmErrTime,less10cmErrTime,less15cmErrTime,less20cmErrTime
False,16.96491645858299,25.135111318942297,14.58,2.14,1.08,0.7000000000000001
False,17.41503282709754,28.499689189171107,3.54,2.62,1.92,1.24
False,17.14594772909959,26.726840923724097,-1.0,2.56,1.8,1.56
False,19.263513577308593,30.08750787267918,14.8,3.34,1.68,1.34
False,18.391896169907646,28.06399532616189,-1.0,1.96,1.6,1.42
False,18.092536809040336,29.146267423390814,-1.0,3.42,2.46,1.9000000000000001
False,18.828492921884838,28.912080017734958,14.42,3.18,2.22,1.6400000000000001
False,18.032864922681796,28.241251927793016,-1.0,1.52,1.18,1.08
False,17.499875944680635,27.86394216157372,9.28,1.3800000000000001,1.34,0.9
False,18.742782649608962,29.453583005437768,3.18,2.8000000000000003,1.9000000000000001,1.6
False,18.249358648867492,27.443592964740272,2.74,2.0,1.26,0.98
False,18.315433818433032,27.957208513542614,19.900000000000002,2.2800000000000002,2.0,1.46
False,18.575691151067986,28.56260616455488,-1.0,2.4,1.54,1.34
False,18.13380238191415,29.352933755031327,19.76,2.84,2.5,1.78
False,17.74551114840368,27.314097828270732,3.3000000000000003,2.12,1.34,1.2
False,18.394760234452335,29.071913550831535,-1.0,3.7600000000000002,1.68,1.48
False,18.290636085215738,30.163894818839776,19.88,3.74,2.84,2.24
False,18.279705769246654,27.378864093685298,3.18,2.02,1.3,0.86
False,18.35423159053067,27.56020511215577,2.98,1.6600000000000001,1.36,1.1
False,18.908986200719553,31.943066948290486,-1.0,9.32,1.56,1.4000000000000001
False,18.429200168342646,27.574947528603296,2.62,1.1,0.92,0.8
False,18.739966569721442,30.15066625770217,-1.0,3.64,2.8000000000000003,2.18
False,18.789071273732024,29.24722069592731,14.540000000000001,1.6600000000000001,1.46,1.36
False,18.489754808755727,31.165670458603945,19.78,3.8200000000000003,2.04,1.58
False,17.864141240992286,27.050790123083207,2.5,1.36,1.16,1.02
False,17.65033302583115,27.890890814503106,-1.0,2.4,1.32,1.16
False,18.359498048837363,27.67098557139809,19.86,1.56,1.32,1.04
False,17.90461051788696,30.35827378777209,-1.0,2.46,1.96,1.48
False,18.39428880374928,27.660325269443664,2.14,1.32,0.76,0.66
False,18.727241245311532,30.30512086104112,19.96,3.1,1.44,1.22
False,18.464322539839273,28.28562245930605,-1.0,1.94,1.42,1.08
False,18.47970475717728,30.9274676702362,19.76,1.78,1.54,1.46
False,17.65850330196349,26.547631060225843,2.7,2.2800000000000002,1.28,0.9
False,18.295268368046912,29.038493100891962,-1.0,2.8000000000000003,2.04,1.6
False,18.307246284528166,29.38833383371058,-1.0,3.3200000000000003,2.32,1.62
False,17.539977833277867,27.21771852811701,2.72,2.2600000000000002,1.5,1.26
False,18.18741586287232,29.356946991973977,-1.0,2.42,1.94,1.26
False,17.805750153746875,27.004865450446548,3.04,2.0,1.58,1.3
False,18.357935573759132,29.617530213290618,9.4,2.82,2.0,1.32
False,17.5501602826469,25.96997400313969,14.68,3.42,1.04,0.74
False,19.134893634638317,29.693289877989297,3.46,2.22,1.76,1.36
False,18.401110776251702,27.853573323117896,3.64,2.7800000000000002,1.94,1.3
False,18.584725753386362,27.545463223566394,2.86,2.16,1.6400000000000001,0.96
False,18.134966826366647,29.031796528121056,3.5,1.92,1.48,1.08
False,17.790228397077108,28.04387584007642,2.7800000000000002,1.6600000000000001,1.28,1.0
False,18.09073561259653,29.070595086254112,-1.0,3.34,2.42,1.46
False,19.260067867024755,31.855191636357638,-1.0,9.28,3.64,3.06
False,18.830844831145036,30.220627646019953,9.44,9.4,2.7600000000000002,1.6
False,18.037554617035493,29.46466874206856,19.8,2.3000000000000003,1.54,1.4000000000000001
False,18.159547915209107,27.117862488891678,14.42,1.42,0.9400000000000001,0.88
False,19.69349539634451,30.882787720506293,2.82,2.16,1.54,1.34
False,18.44846004099897,27.730135320170035,-1.0,2.74,1.34,1.32
False,18.30897647162774,27.74982896521223,3.46,2.34,1.28,0.92
False,18.54529824962892,30.049721152137955,19.82,9.4,3.04,1.58
False,18.520778548296963,29.524277582808416,-1.0,9.38,1.72,1.42
False,18.572004791356928,27.77354982348439,3.22,1.8800000000000001,1.34,1.1400000000000001
False,19.129667311121203,30.609106616290575,-1.0,9.36,1.8800000000000001,1.52
False,17.865405187149836,28.58755793891235,-1.0,3.42,1.52,1.36
False,17.336976520299302,25.887290037203442,2.62,1.9000000000000001,1.22,0.98
False,19.658237754594744,32.64175414276927,9.44,9.3,9.200000000000001,1.74
False,17.782618696284796,28.238503476432427,9.42,1.74,1.42,1.3
False,18.689021967281125,28.634434208509504,2.92,2.04,1.8800000000000001,1.42
False,18.253185377551898,27.760306906511186,2.6,2.36,1.3800000000000001,1.16
False,17.65340434880296,26.90780124230752,-1.0,2.54,1.34,1.1
False,18.27905200598556,27.818196987674714,3.1,2.4,1.62,1.2
False,17.865117662018463,26.981668530431293,9.38,1.3800000000000001,1.2,0.86
False,17.770945047736312,26.832624047471064,19.900000000000002,2.48,2.04,1.36
False,18.697368606490066,30.6701035921716,9.5,3.02,1.48,1.26
False,18.0998593358426,27.233887917294904,3.36,1.78,1.34,1.1
False,18.057763759535852,29.537613641133245,19.96,2.94,1.76,1.34
False,18.330252879820264,27.869935808787634,2.8000000000000003,2.12,1.22,1.16
False,17.9446350019121,27.321547131865074,-1.0,3.04,1.44,0.96
False,17.771070041315,28.933429058767437,19.78,2.98,2.0,1.32
False,18.743051248250207,28.961713159053534,14.4,2.7800000000000002,1.72,1.04
False,17.88310200161237,27.117515459860563,14.5,2.9,1.28,1.0
False,18.250031282333723,27.653036373145014,3.4,1.54,1.3,1.1400000000000001
False,18.538931846192487,28.0424358317722,14.58,1.56,1.3,1.16
False,17.488239003626877,28.16945091828016,3.54,2.84,1.26,1.06
False,18.20607546021965,28.96994814405303,19.96,3.4,3.0,1.74
False,18.02772803815425,27.26812557566973,2.46,1.68,1.42,1.24
False,18.199895590240196,28.145358814079028,-1.0,2.06,1.78,1.3
False,18.080353474271323,28.620686514422175,3.14,1.96,1.56,1.3
False,18.967917651910106,31.386780726551265,19.900000000000002,9.26,9.14,2.1
False,17.85418357769154,29.894067095932108,-1.0,9.22,3.36,2.96
False,18.866058346303475,28.036272954335473,3.1,1.3,1.04,0.92
False,18.33894185895775,27.706353549044998,3.3000000000000003,2.18,1.1,0.78
False,17.865857034050094,28.592172614798557,19.64,3.46,2.2800000000000002,1.94
False,18.102757977613457,26.823643099358094,1.8,1.24,1.0,0.88
False,18.077706332125278,28.319802400730524,-1.0,2.98,2.12,1.12
False,18.8036611517898,29.796480261831437,-1.0,1.68,1.5,1.26
False,17.897000812462384,29.104385948922236,9.5,1.6,1.52,1.24
False,18.35396185138711,27.693467243302152,3.3000000000000003,2.4,1.42,1.06
False,17.798288533009455,27.968036377944834,-1.0,3.06,2.06,1.3
False,19.349464022641584,31.140497713617563,-1.0,3.48,2.2800000000000002,1.54
False,17.97185294804044,27.480857062899144,3.3000000000000003,1.72,1.36,1.18
False,18.673197061965173,28.25498857717376,14.540000000000001,1.84,1.34,1.1400000000000001
False,18.755351744656668,28.308294904322548,3.2600000000000002,2.6,1.9000000000000001,1.32
False,17.424430973920707,26.69861172484572,14.82,2.24,1.52,1.4000000000000001
False,19.00444129073002,28.551965178966466,2.9,1.68,1.28,1.22
False,17.61539690040829,28.45295631794782,9.3,2.2,1.0,0.88
False,17.869258785994976,27.92920947170428,2.98,2.3000000000000003,1.52,1.2
False,18.52536063592368,28.6544134583853,2.98,2.08,1.44,1.22
False,17.84105268996949,28.191062488980794,-1.0,2.7,1.52,1.36
False,18.407950484550398,30.805540137291075,-1.0,9.32,3.2800000000000002,2.6
False,18.14070467580787,28.206194411717163,-1.0,2.72,1.54,1.16
False,18.912388496149067,31.832105108438054,19.76,9.34,3.54,1.82
False,19.00377919134912,29.11003596275737,2.08,1.54,1.28,1.06
False,18.764085524007502,29.709271672249645,13.86,2.3000000000000003,1.58,1.34
False,18.600538519002672,28.724099976858724,-1.0,2.54,2.02,1.48
False,17.326511791859946,27.585145374902456,9.44,2.1,1.32,1.1400000000000001
False,18.087329057923984,28.268685671669836,3.2800000000000002,1.76,1.34,1.08
False,17.06880283428605,27.890892725652247,-1.0,3.36,1.98,1.28
False,18.363646410440932,28.13226675446367,3.04,2.16,1.86,1.08
False,18.61536891314269,28.238771557357385,3.4,2.58,1.8800000000000001,1.36
False,17.809707002607983,26.918065444846437,2.58,1.52,1.22,1.08
False,18.34007287046493,28.461937481169418,-1.0,3.24,1.18,0.76
False,18.79488670985982,28.951235552174712,19.78,2.2800000000000002,1.62,1.42
False,18.3345100476996,28.322704435588214,3.24,1.62,1.4000000000000001,1.32
False,17.28711262775604,26.18669744095513,-1.0,2.72,1.22,0.96
False,18.166781682946194,30.549929547882268,19.900000000000002,3.24,1.8,1.6
False,18.142308909560736,27.77274874124701,2.54,2.12,1.34,1.18
False,17.651026308805456,28.94186325896778,9.46,3.84,1.7,1.4000000000000001
False,17.572112947737345,27.254096766418126,3.46,1.58,1.44,1.16
False,17.489106325403345,27.98092874804154,3.74,2.8000000000000003,1.86,1.62
False,18.219906653498366,27.58061545413156,2.52,1.8,1.36,1.12
False,18.267101111883,28.30603440737081,9.36,2.42,1.56,1.1
False,18.352448877240658,28.303810605775094,-1.0,3.12,2.2800000000000002,1.08
False,18.23996437507205,27.707337525178172,2.8000000000000003,2.32,1.7,1.34
False,17.665144237685244,28.262151572381796,-1.0,3.02,1.54,1.24
False,18.801563870012014,29.442489947296835,2.88,2.02,1.68,1.34
False,17.824514982237318,29.014403859215946,-1.0,3.7600000000000002,2.56,0.96
False,18.533939771934865,28.213234719875967,2.84,2.18,1.28,1.04
False,17.64981928054291,28.62545058031504,9.44,2.58,2.34,1.32
False,18.61982758644924,27.534842116341707,2.56,1.6,1.16,0.92
False,18.467006668608658,30.988711952592904,9.3,9.16,3.04,1.76
False,18.733836677850594,28.53988375848378,14.56,2.7600000000000002,1.86,1.3
False,18.361094305090035,29.444017318752742,3.52,2.14,1.28,1.18
False,18.85603566970729,29.67137150121446,3.22,1.76,1.36,1.04
False,18.62204922925455,28.093934954034417,3.0,1.44,1.36,1.1
False,18.373025307600045,27.678896717306074,19.98,2.66,1.12,0.98
False,17.694267063724784,29.46185924511494,-1.0,2.88,1.62,1.36
False,17.928706679589965,26.881239290347015,-1.0,2.34,1.6600000000000001,1.48
False,18.161497014365583,27.308463900421433,3.2,2.56,1.1400000000000001,0.9400000000000001
False,17.39341210909909,28.373933225107656,-1.0,3.06,1.48,1.4000000000000001
False,18.772321726864785,30.605900898362762,-1.0,2.04,1.5,1.46
False,18.44899250809689,27.57417983180206,-1.0,2.12,1.44,1.22
False,19.203219179803977,32.46377369376394,-1.0,9.38,3.46,2.02
False,19.638724502858764,31.72130758941407,-1.0,3.02,2.74,1.5
False,18.30434059283658,28.049222381758373,-1.0,2.18,1.3800000000000001,1.28
False,19.09817100679772,30.068781111208803,3.3200000000000003,2.94,2.24,2.0
False,18.267832187921176,27.240463875066588,2.42,1.96,1.26,0.98
False,18.09036799298892,27.046705381567907,3.24,2.2,1.16,0.86
False,18.765892986513645,28.499438469117614,-1.0,1.62,1.5,1.24
False,18.37799892989256,29.92699308475278,-1.0,9.14,1.76,1.54
False,17.56323802745488,27.496631958085448,-1.0,1.92,1.5,1.42
False,17.629353942448972,28.558611585222824,9.46,3.16,1.44,1.44
False,18.58122578396419,28.573788378635257,14.58,2.2,1.4000000000000001,1.22
False,18.28428711328037,28.097347542926897,14.08,2.58,2.0,1.12
False,18.789342163368538,28.11394871402706,2.66,2.16,1.2,0.76
False,18.09636133141323,27.31613212744217,3.06,1.8800000000000001,1.32,1.12
False,17.59156121603613,28.954375121556406,-1.0,2.8000000000000003,2.56,1.8800000000000001
False,17.699415655802465,26.88077085324993,2.64,1.58,1.22,1.16
False,18.128804201379605,28.781882168617752,-1.0,9.4,1.68,1.34
False,17.890838472583823,27.609528341095178,-1.0,3.1,0.86,0.72
False,17.597512172309422,26.3183040712746,2.8000000000000003,1.28,1.18,1.06
